Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"Aug 29, 2012",124.48,124.49,124.54,124.39,955.98K,-0.02%
"Aug 28, 2012",124.51,124.45,124.57,124.44,800.59K,0.03%
"Aug 27, 2012",124.47,124.37,124.52,124.32,452.13K,0.07%
"Aug 24, 2012",124.38,124.38,124.52,124.34,448.34K,-0.05%
"Aug 23, 2012",124.44,124.4,124.54,124.31,541.29K,0.10%
"Aug 22, 2012",124.32,123.97,124.41,123.96,561.81K,0.31%
"Aug 21, 2012",123.94,123.95,124.02,123.79,397.34K,0.01%
"Aug 20, 2012",123.93,123.89,123.98,123.73,279.56K,0.04%
"Aug 17, 2012",123.88,123.81,123.95,123.8,289.53K,0.06%
"Aug 16, 2012",123.8,123.87,123.93,123.7,481.22K,-0.08%
"Aug 15, 2012",123.9,124.09,124.13,123.85,449.23K,-0.18%
"Aug 14, 2012",124.12,124.3,124.33,124.08,359.71K,-0.17%
"Aug 13, 2012",124.33,124.28,124.41,124.21,224.89K,-0.01%
"Aug 10, 2012",124.34,124.16,124.37,124.16,256.01K,0.13%
"Aug 09, 2012",124.18,124.15,124.23,124.03,398.56K,-0.02%
"Aug 08, 2012",124.2,124.27,124.37,124.12,362.14K,-0.06%
"Aug 07, 2012",124.27,124.48,124.52,124.2,431.07K,-0.21%
"Aug 06, 2012",124.53,124.41,124.59,124.35,277.58K,0.12%
"Aug 03, 2012",124.38,124.68,124.73,124.35,446.84K,-0.26%
"Aug 02, 2012",124.7,124.59,124.86,124.48,543.84K,0.12%
"Aug 01, 2012",124.55,124.86,124.88,124.53,442.03K,-0.18%
"Jul 31, 2012",124.78,124.71,124.88,124.68,465.62K,0.06%
"Jul 30, 2012",124.7,124.52,124.74,124.45,360.84K,0.18%
"Jul 27, 2012",124.48,124.8,124.81,124.37,576.11K,-0.30%
"Jul 26, 2012",124.85,124.92,124.95,124.78,343.94K,-0.06%
"Jul 25, 2012",124.92,124.95,125.0,124.81,346.05K,0.01%
"Jul 24, 2012",124.91,124.88,124.98,124.77,347.84K,0.02%
"Jul 23, 2012",124.88,124.77,124.94,124.77,372.27K,0.08%
"Jul 20, 2012",124.78,124.62,124.82,124.62,267.48K,0.14%
"Jul 19, 2012",124.61,124.63,124.73,124.59,330.54K,-0.06%
"Jul 18, 2012",124.69,124.53,124.7,124.48,247.69K,0.11%
"Jul 17, 2012",124.55,124.64,124.71,124.52,345.93K,-0.09%
"Jul 16, 2012",124.66,124.52,124.75,124.49,345.92K,0.14%
"Jul 13, 2012",124.48,124.48,124.53,124.38,267.32K,0.00%
"Jul 12, 2012",124.48,124.4,124.53,124.39,330.80K,0.02%
"Jul 11, 2012",124.46,124.49,124.59,124.38,398.30K,-0.03%
"Jul 10, 2012",124.5,124.45,124.52,124.41,262.36K,0.02%
